Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Gls,Ast,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,Sh/90,SoT,SoT/90,G/Sh,KP,PPA,Tkl,Tkl%,Int,SCA,SCA90,Carries,PrgDist_stats_possession,Recov
1226,Ko Itakura,jp JPN,DF,Gladbach,de Bundesliga,27,1997,3,0,1.6,1.6,0.8,2.5,0.1,0.08,23,69,5,21,0.68,7,0.23,0.14,7,8,40,61.8,28,25,0.81,1326,3528,95
1227,Hiroki Ito,jp JPN,DF,Bayern Munich,de Bundesliga,25,1999,1,0,0.4,0.4,0.4,0.8,0.36,0.27,3,18,6,1,0.36,1,0.36,1,3,3,2,100,6,5,1.81,126,240,13
1228,Junya Ito,jp JPN,"FW,MF",Reims,fr Ligue 1,31,1993,4,3,4.6,4.6,7.1,11.7,0.23,0.39,100,133,256,31,1.04,11,0.37,0.13,82,67,45,28.3,13,129,4.32,837,2986,135
1229,Diego Iturralde,es ESP,FW,Sevilla,es La Liga,21,2003,0,0,0.1,0.1,0,0.1,0,0.21,0,0,1,1,2.43,0,0,0,0,0,0,,1,0,0,9,3,1
1230,Marko Ivezi_,rs SRB,DF,Holstein Kiel,de Bundesliga,22,2001,0,0,0.6,0.6,0.2,0.8,0,0.04,3,40,9,7,0.38,0,0,0,4,2,29,35.7,27,12,0.65,596,1282,71
1231,Alex Iwobi,ng NGA,"FW,MF",Fulham,eng Premier League,28,1996,9,6,4.7,4.7,7,11.8,0.45,0.36,144,213,246,68,2.05,29,0.88,0.13,59,86,44,64.7,14,122,3.68,1312,4367,140
1232,Armando Izzo,it ITA,DF,Monza,it Serie A,32,1992,1,1,0.4,0.4,0.8,1.2,0.07,0.05,12,72,12,6,0.22,2,0.07,0.17,11,6,40,50,45,20,0.74,1009,2241,90
1233,Fellipe Jack,br BRA,DF,Como,it Serie A,18,2006,0,0,0,0,0.1,0.1,0,0.03,2,8,1,0,0,0,0,,1,1,9,60,4,2,1.05,62,188,4
1234,Nicolas Jackson,sn SEN,FW,Chelsea,eng Premier League,23,2001,10,5,12.3,12.3,4.3,16.6,0.61,0.67,47,38,129,76,3.08,34,1.38,0.13,28,10,22,50,3,69,2.8,417,1316,48
1235,Jérémy Jacquet,fr FRA,DF,Rennes,fr Ligue 1,19,2005,0,1,0.8,0.8,0.8,1.6,0.1,0.16,8,40,4,8,0.78,3,0.29,0,4,1,26,63.6,27,9,0.87,353,861,41
1236,Lee Jae-sung,kr KOR,MF,Mainz 05,de Bundesliga,31,1992,7,6,5.3,5.3,5,10.3,0.44,0.35,28,105,165,40,1.36,15,0.51,0.18,34,22,42,38.5,35,73,2.48,699,928,119
1237,Ivan Jaime Pajuelo,es ESP,MF,Valencia,es La Liga,23,2000,0,0,0.6,0.6,0.3,1,0,0.3,8,15,14,8,2.42,3,0.91,0,4,8,8,80,2,12,3.65,100,303,19
1238,Kristijan Jaki_,hr CRO,MF,Augsburg,de Bundesliga,27,1997,0,1,0.8,0.8,1.2,2,0.04,0.08,24,106,49,18,0.7,4,0.16,0,16,11,46,51.2,28,42,1.64,703,1324,133
1239,Karl Jakob Hein,ee EST,GK,Valladolid,es La Liga,22,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,4,0.13,643,1987,43
1240,Ismail Jakobs,sn SEN,DF,Monaco,fr Ligue 1,24,1999,0,0,0,0,0.2,0.2,0,0.11,9,6,17,0,0,0,0,,4,5,5,60,2,8,4,67,228,5
1241,Jordan James,wls WAL,MF,Rennes,fr Ligue 1,20,2004,0,1,0.9,0.9,1.9,2.8,0.08,0.21,21,67,15,17,1.3,3,0.23,0,24,12,30,53.3,14,44,3.36,336,765,54
1242,Reece James,eng ENG,"DF,MF",Chelsea,eng Premier League,24,1999,1,1,0.4,0.4,0.7,1.1,0.17,0.1,7,64,12,11,0.93,3,0.25,0.09,11,5,10,33.3,13,18,1.52,486,822,66
1243,Vitaly Janelt,de GER,MF,Brentford,eng Premier League,26,1998,1,3,0.8,0.8,2.2,3,0.16,0.12,17,80,38,14,0.56,4,0.16,0.07,14,23,38,58.3,27,32,1.28,652,1278,107
1244,Adnan Januzaj,be BEL,"MF,FW",Las Palmas,es La Liga,29,1995,2,1,0.8,0.8,1.1,1.9,0.45,0.29,24,41,58,16,2.41,5,0.75,0.13,17,14,10,55.6,2,37,5.57,262,781,30
1245,Luca Jaquez,ch SUI,DF,Stuttgart,de Bundesliga,21,2003,0,0,0.2,0.2,0,0.2,0,0.08,5,18,0,1,0.36,0,0,0,0,1,3,33.3,3,5,1.77,166,621,11
1246,Vitezslav Jaros,cz CZE,GK,Liverpool,eng Premier League,23,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,7,8,0
1247,Ali Jasim,iq IRQ,"FW,DF",Como,it Serie A,20,2004,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,0,0,1,100,0,1,9,7,36,1
1248,Mikel Jauregizar,es ESP,MF,Athletic Club,es La Liga,20,2003,2,1,1.1,1.1,1.4,2.5,0.12,0.1,14,118,31,21,0.84,8,0.32,0.1,23,11,84,49.4,29,73,2.93,706,1261,144
1249,Dominik Javor_ek,sk SVK,"DF,MF",Holstein Kiel,de Bundesliga,21,2002,0,2,0,0,1,1,0.47,0.24,7,4,23,1,0.23,0,0,0,4,2,3,20,5,7,1.63,91,249,7
1250,Gaby Jean,fr FRA,DF,Lecce,it Serie A,24,2000,0,0,0.1,0.1,0.1,0.2,0,0.01,8,42,3,1,0.06,1,0.06,0,1,1,14,54.5,9,4,0.26,500,1296,55
1251,Daniel Jebbison,eng ENG,FW,Bournemouth,eng Premier League,20,2003,1,0,1,1,0.2,1.2,0.76,0.9,4,3,16,5,3.78,2,1.51,0.2,3,1,5,66.7,1,6,4.54,44,95,10
1252,Finn Jeltsch,de GER,DF,Stuttgart,de Bundesliga,18,2006,0,0,0.1,0.1,0.1,0.1,0,0.02,8,31,5,2,0.23,0,0,0,2,1,18,80,13,2,0.23,476,1472,34
1253,Malcolm Jeng,se SWE,DF,Reims,fr Ligue 1,19,2005,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,0,0,0,,3,0,0,25,58,3
1254,Fredrik Jensen,fi FIN,MF,Augsburg,de Bundesliga,26,1997,0,0,0.7,0.7,0.7,1.4,0,0.16,16,20,58,11,1.3,0,0,0,11,7,7,80,4,19,2.25,190,390,15
1255,Mathias Jensen,dk DEN,MF,Brentford,eng Premier League,28,1996,0,2,0.2,0.2,1.7,1.9,0.21,0.2,6,61,27,6,0.63,1,0.1,0,16,19,14,50,8,41,4.28,299,598,48
1256,Moritz Jenz,de GER,DF,Mainz 05,de Bundesliga,25,1999,0,0,1.6,1.6,0.3,1.8,0,0.1,1,47,3,10,0.56,4,0.23,0,3,2,36,76.2,30,11,0.62,510,958,73
1257,Gabriel Jesus,br BRA,FW,Arsenal,eng Premier League,27,1997,3,0,3,3,0.7,3.7,0.44,0.54,15,19,57,20,2.96,7,1.04,0.15,8,9,10,44.4,4,18,2.66,179,432,28
1258,Juan Jesus,br BRA,DF,Napoli,it Serie A,33,1991,0,1,0.3,0.3,0,0.4,0.08,0.03,3,50,2,3,0.25,0,0,0,1,2,25,60,9,9,0.75,589,1243,30
1259,Alejandro Jiménez,es ESP,"DF,FW",Milan,it Serie A,19,2005,0,1,0.8,0.8,1.3,2.1,0.07,0.15,55,37,72,15,1.07,5,0.36,0,12,12,24,40.7,15,34,2.42,423,1649,69
1260,Raúl Jiménez,mx MEX,FW,Fulham,eng Premier League,33,1991,12,3,12,9.6,3.3,12.9,0.43,0.55,35,62,125,93,3.36,30,1.08,0.1,24,14,35,36.4,10,66,2.38,549,1112,80
1261,Kim Jisoo,kr KOR,DF,Brentford,eng Premier League,19,2004,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,,0,0,0,15,22,0
1262,João Pedro,br BRA,"FW,MF",Brighton,eng Premier League,22,2001,10,6,8.9,5,5,10,0.51,0.64,66,78,128,42,1.94,15,0.69,0.12,30,36,16,36.4,9,72,3.32,616,1821,59
1263,John Joe,ie IRL,"MF,FW",Getafe,es La Liga,20,2003,0,0,0.1,0.1,0,0.1,0,0.26,1,0,6,2,3.75,0,0,0,0,0,0,,0,0,0,21,47,3
1264,John Joe,ie IRL,MF,Reims,fr Ligue 1,20,2003,0,0,0.2,0.2,0,0.2,0,0.03,6,14,9,8,1.32,1,0.17,0,1,2,24,36.8,6,9,1.48,150,429,31
1265,Joelinton,br BRA,"MF,FW",Newcastle Utd,eng Premier League,27,1996,4,3,3.9,3.9,2.5,6.4,0.26,0.24,40,116,110,45,1.69,13,0.49,0.09,23,17,57,56.8,23,61,2.29,729,1786,149
1266,Jofre,es ESP,"MF,FW",Espanyol,es La Liga,23,2001,3,3,2.5,2.5,2.5,5,0.25,0.21,65,48,156,40,1.66,10,0.42,0.08,24,15,22,56.5,15,56,2.33,535,2141,105
1267,_órir Jóhann Helgason,is ISL,MF,Lecce,it Serie A,23,2000,0,4,1.2,1.2,1.1,2.3,0.31,0.18,20,38,58,16,1.25,5,0.39,0,22,13,10,53.8,6,39,3.04,230,625,46
1268,Carl Johansson,se SWE,DF,Holstein Kiel,de Bundesliga,30,1994,0,0,0,0,0.4,0.5,0,0.07,0,12,0,1,0.16,1,0.16,0,6,2,4,42.9,10,8,1.27,155,189,18
1269,Ben Johnson,eng ENG,"DF,FW",Ipswich Town,eng Premier League,24,2000,1,2,1.1,1.1,1.3,2.3,0.2,0.16,16,27,33,7,0.47,3,0.2,0.14,12,3,38,48.8,13,24,1.6,259,585,57
1270,Brennan Johnson,wls WAL,FW,Tottenham,eng Premier League,23,2001,11,3,10.4,10.4,2.3,12.7,0.58,0.52,60,71,197,54,2.23,20,0.83,0.2,19,35,39,47.1,4,46,1.9,544,1460,63
1271,Karl-Johan Johnsson,se SWE,GK,Strasbourg,fr Ligue 1,34,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,98,248,2
1272,Sam Johnstone,eng ENG,GK,Wolves,eng Premier League,31,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,2,0.29,196,756,9
1273,Paul Joly,fr FRA,DF,Auxerre,fr Ligue 1,24,2000,0,1,0.6,0.6,1.3,1.9,0.09,0.17,28,51,61,10,0.89,5,0.45,0,16,18,49,60,25,32,2.85,394,922,56
1274,Curtis Jones,eng ENG,"MF,DF",Liverpool,eng Premier League,23,2001,3,3,4.3,4.3,1.1,5.4,0.32,0.29,30,117,79,34,1.79,13,0.68,0.09,22,19,39,63,7,52,2.74,789,1892,97
1275,Frenkie de Jong,nl NED,MF,Barcelona,es La Liga,27,1997,2,2,0.7,0.7,2,2.6,0.31,0.21,36,120,24,5,0.39,3,0.24,0.4,21,12,19,50,12,43,3.39,815,2630,57
1276,Joan Jordán,es ESP,MF,Alavés,es La Liga,30,1994,5,2,4.8,1.6,2.3,4,0.25,0.45,7,104,35,13,0.83,4,0.25,0.15,31,15,32,56.7,9,55,3.5,481,845,61
1277,Jorginho,it ITA,MF,Arsenal,eng Premier League,32,1991,0,0,0.1,0.1,0.4,0.5,0,0.06,12,48,6,2,0.26,0,0,0,3,10,12,40,7,12,1.54,302,874,55
1278,Jesse Joronen,fi FIN,GK,Venezia,it Serie A,31,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,196,567,11
1279,Jota,pt POR,"FW,MF",Rennes,fr Ligue 1,25,1999,1,0,1.3,1.3,0.3,1.6,0.27,0.44,13,16,35,4,1.08,2,0.54,0.25,5,6,5,57.1,3,7,1.89,114,334,11
1280,Diogo Jota,pt POR,FW,Liverpool,eng Premier League,27,1996,6,3,7.9,7.9,1.8,9.8,0.68,0.74,37,34,88,51,3.84,13,0.98,0.12,11,3,14,36.8,8,37,2.79,263,796,41
1281,Antoine Joujou,fr FRA,"MF,FW",Le Havre,fr Ligue 1,21,2003,0,2,0.6,0.6,3,3.7,0.19,0.35,44,18,85,11,1.05,2,0.19,0,15,15,16,60,9,37,3.53,249,1032,59
1282,Luka Jovi_,rs SRB,"FW,MF",Milan,it Serie A,26,1997,2,0,2.4,2.4,1.4,3.8,0.32,0.61,8,26,24,11,1.78,4,0.65,0.18,12,8,0,,1,16,2.59,99,193,9
1283,Juanmi,es ESP,"FW,MF",Getafe,es La Liga,31,1993,0,0,2.9,2.9,0.3,3.2,0,0.41,6,8,28,13,1.68,6,0.78,0,4,4,14,31.6,2,9,1.16,125,186,23
1284,Juanmi,es ESP,"FW,MF",Betis,es La Liga,31,1993,0,0,0.7,0.7,0.4,1,0,0.39,4,4,18,6,2.21,1,0.37,0,4,1,7,66.7,1,5,1.84,62,101,14
1285,Juanpe,es ESP,DF,Girona,es La Liga,33,1991,0,0,0.1,0.1,0.2,0.2,0,0.03,2,26,0,2,0.25,0,0,0,3,1,8,75,8,3,0.37,377,1031,22
1286,Jubal,br BRA,DF,Auxerre,fr Ligue 1,30,1993,6,0,5.2,2,0.9,2.9,0.1,0.21,1,33,3,26,0.89,7,0.24,0.12,6,7,60,70,25,15,0.51,698,973,90
1287,Anthony Jung,de GER,DF,Werder Bremen,de Bundesliga,32,1991,0,0,0,0,0.1,0.1,0,0,20,121,6,1,0.05,0,0,0,2,6,34,64.7,25,14,0.66,1044,2322,81
1288,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,es La Liga,23,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,1,0.06,284,993,18
1289,Hamed Junior Traorè,ci CIV,MF,Auxerre,fr Ligue 1,24,2000,10,2,7.9,7.9,2.7,10.6,0.52,0.46,66,99,146,68,2.92,27,1.16,0.15,27,27,41,29.6,8,71,3.05,615,1876,100
1290,Vinicius Júnior,br BRA,FW,Real Madrid,es La Liga,24,2000,11,8,10.4,8.2,8,16.2,0.68,0.73,169,85,256,78,3.12,24,0.96,0.12,58,36,21,27.8,3,135,5.39,952,4525,71
1291,Josip Juranovi_,hr CRO,"DF,MF",Union Berlin,de Bundesliga,28,1995,0,1,0.3,0.3,1.8,2.1,0.08,0.16,19,52,45,6,0.47,2,0.16,0,27,22,21,40,7,51,3.97,307,797,62
1292,David Jurásek,cz CZE,DF,Hoffenheim,de Bundesliga,23,2000,0,1,0.1,0.1,0.9,1,0.15,0.14,17,22,42,5,0.73,2,0.29,0,7,11,6,40,6,19,2.76,238,599,40
1293,Stanko Juri_,hr CRO,MF,Valladolid,es La Liga,27,1996,0,0,0.8,0.8,0.5,1.3,0,0.07,5,57,8,8,0.42,2,0.1,0,4,4,48,39.6,24,9,0.47,388,789,92
1294,James Justin,eng ENG,DF,Leicester City,eng Premier League,26,1998,2,2,1.5,1.5,0.8,2.3,0.12,0.07,39,91,96,25,0.77,6,0.19,0.08,14,23,58,58.2,46,33,1.02,866,1788,88
1295,Filip Jørgensen,dk DEN,GK,Chelsea,eng Premier League,22,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,1,0.17,145,423,5
1296,Mohamed Kaba,fr FRA,MF,Lecce,it Serie A,22,2001,0,0,0.3,0.3,0,0.4,0,0.08,3,18,8,4,0.8,0,0,0,1,1,13,80,4,10,1.99,136,243,19
1297,Yusuf Kabadayı,de GER,"FW,MF",Augsburg,de Bundesliga,20,2004,1,0,0.6,0.6,0,0.7,1.27,0.89,2,3,8,4,5.07,1,1.27,0.25,1,1,1,,0,4,5.07,29,73,6
1298,Almugera Kabar,de GER,DF,Dortmund,de Bundesliga,18,2006,0,0,0,0,0.5,0.5,0,0.36,5,6,2,0,0,0,0,,3,2,5,100,1,3,1.99,71,101,4
1299,Christian Kabasele,be BEL,DF,Udinese,it Serie A,33,1991,2,0,1.5,1.5,0.4,1.9,0.16,0.14,9,44,7,15,1.16,4,0.31,0.13,6,1,17,78.6,14,12,0.93,393,1020,33
1300,Issa Kaboré,bf BFA,"DF,FW",Werder Bremen,de Bundesliga,23,2001,0,0,0.7,0.7,0.8,1.5,0,0.45,15,8,35,7,2.05,0,0,0,7,5,8,66.7,2,15,4.38,128,440,20
1301,Yaya Kader Fofana,ml MLI,"MF,FW",Reims,fr Ligue 1,20,2004,1,1,0.6,0.6,1.7,2.3,0.28,0.32,19,22,29,13,1.85,4,0.57,0.08,7,10,17,33.3,3,22,3.12,209,773,33
1302,Pavel Kade_ábek,cz CZE,DF,Hoffenheim,de Bundesliga,32,1992,2,0,0.8,0.8,2,2.7,0.11,0.16,15,47,86,14,0.8,3,0.17,0.14,21,16,25,48.4,20,41,2.34,456,872,25
1303,Tino Kadewere,zw ZIM,"MF,FW",Nantes,fr Ligue 1,28,1996,1,2,1.7,1.7,1,2.7,0.53,0.47,5,19,27,8,1.41,6,1.05,0.13,8,3,14,46.2,6,19,3.34,133,270,34
1304,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,eng Premier League,24,1999,1,0,0.4,0.4,0.2,0.6,0.23,0.14,1,15,27,4,0.94,1,0.23,0.25,5,9,10,40,8,13,3.03,124,183,14
1305,Arnaud Kalimuendo,fr FRA,"FW,MF",Rennes,fr Ligue 1,22,2002,17,3,14.9,8.9,2,10.9,0.52,0.59,50,72,167,68,2.37,29,1.01,0.18,19,14,19,46.7,4,49,1.71,521,1273,63
1306,Pierre Kalulu,fr FRA,DF,Juventus,it Serie A,24,2000,1,0,0.7,0.7,0.5,1.2,0.04,0.05,48,117,24,7,0.27,3,0.12,0.14,11,11,41,75,17,36,1.39,1559,5089,95
1307,Justin-Noël Kalumba,fr FRA,"FW,MF",Angers,fr Ligue 1,19,2004,0,0,0,0,0,0,0,0.05,1,0,3,1,2.9,0,0,0,0,0,0,,1,0,0,13,31,2
1308,Daichi Kamada,jp JPN,MF,Crystal Palace,eng Premier League,27,1996,0,0,1.1,1.1,1.9,3,0,0.17,25,88,56,20,1.15,4,0.23,0,20,14,47,34.1,18,52,2.99,485,1121,89
1309,Waren Kamanzi,no NOR,"DF,MF",Toulouse,fr Ligue 1,23,2000,1,1,1.3,1.3,1,2.2,0.18,0.2,29,33,62,7,0.62,2,0.18,0.14,12,8,29,50,9,23,2.02,332,1037,56
1310,Boubacar Kamara,fr FRA,MF,Aston Villa,eng Premier League,24,1999,1,0,0.8,0.8,0.9,1.7,0.05,0.09,19,85,7,10,0.52,3,0.16,0.1,11,10,50,51.8,19,27,1.41,591,1370,87
1311,Glen Kamara,fi FIN,MF,Rennes,fr Ligue 1,28,1995,0,1,0.2,0.2,0.2,0.3,0.14,0.05,5,34,22,1,0.14,0,0,0,5,8,23,64.7,7,20,2.72,268,356,42
1312,Hassane Kamara,ci CIV,DF,Udinese,it Serie A,30,1994,1,4,0.9,0.9,2.7,3.6,0.22,0.16,52,61,103,17,0.76,3,0.13,0.06,24,28,35,57.1,26,44,1.98,618,1617,92
1313,Noham Kamara,fr FRA,DF,Paris S-G,fr Ligue 1,17,2007,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,,0,0,1,,1,1,1.18,56,170,4
1314,Willy Kambwala,fr FRA,DF,Villarreal,es La Liga,19,2004,0,0,0.3,0.3,0.1,0.5,0,0.04,2,16,0,4,0.32,1,0.08,0,1,1,17,83.3,10,5,0.4,367,846,30
1315,Jakub Kami_ski,pl POL,"DF,MF",Wolfsburg,de Bundesliga,22,2002,0,2,0.9,0.9,3.3,4.2,0.16,0.34,41,40,69,15,1.19,3,0.24,0,24,13,17,40.9,13,43,3.42,301,1112,52
1316,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,33,1990,1,0,0.8,0.8,1.4,2.2,0.06,0.13,21,106,32,7,0.4,2,0.11,0.14,16,24,27,61.5,24,44,2.49,793,2024,100
1317,Nordine Kandil,fr FRA,MF,Strasbourg,fr Ligue 1,22,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,,0,0,0,5,21,0
1318,Harry Kane,eng ENG,FW,Bayern Munich,de Bundesliga,31,1993,26,9,20.3,13.3,5.3,18.6,0.98,0.97,29,97,143,105,3.97,45,1.7,0.16,35,36,13,33.3,2,89,3.36,513,954,61
1319,Lee Kang-in,kr KOR,"FW,MF",Paris S-G,fr Ligue 1,23,2001,6,6,3.5,3.5,5.6,9.1,0.65,0.5,50,143,138,41,2.22,14,0.76,0.15,56,43,25,54.3,3,97,5.26,938,2194,73
1320,Yann Karamoh,fr FRA,"MF,FW",Torino,it Serie A,26,1998,0,1,1.2,1.2,0.9,2.2,0.09,0.18,37,28,80,25,2.15,6,0.52,0,9,9,5,44.4,3,24,2.06,292,1023,42
1321,Atakan Karazor,,MF,Stuttgart,de Bundesliga,27,1996,2,4,2.3,2,2.6,4.6,0.21,0.17,19,140,33,14,0.48,7,0.24,0.14,15,18,59,50.9,32,43,1.48,1112,1987,171
1322,Jesper Karlsson,se SWE,FW,Bologna,it Serie A,26,1998,1,0,0.7,0.7,0.1,0.8,0.3,0.25,6,6,31,6,1.81,2,0.6,0.17,2,2,1,0,0,9,2.72,97,207,8
1323,Jesper Karlsson,se SWE,FW,Lecce,it Serie A,26,1998,1,0,1.5,0.7,0.6,1.3,0,0.38,11,12,32,9,1.64,4,0.73,0,10,9,3,25,0,18,3.26,111,290,12
1324,Jesper Karlström,se SWE,MF,Udinese,it Serie A,29,1995,0,3,0.7,0.7,1.1,1.8,0.08,0.05,23,135,46,13,0.37,2,0.06,0,21,21,61,49,35,59,1.67,1002,2204,146
1325,Lior Kasa,il ISR,"MF,FW",Genoa,it Serie A,18,2005,0,0,1.1,1.1,0.1,1.2,0,0.48,1,7,7,5,1.96,2,0.78,0,2,1,4,40,3,5,1.97,58,124,14
1326,Grigoris Kastanos,cy CYP,"MF,FW",Hellas Verona,it Serie A,26,1998,1,1,1,1,1.7,2.7,0.21,0.28,12,34,27,22,2.27,5,0.52,0.05,12,7,23,42.9,7,24,2.47,239,499,48
1327,Mikkel Kaufmann,dk DEN,FW,Heidenheim,de Bundesliga,23,2001,0,0,0.5,0.5,0.1,0.6,0,0.15,4,10,21,3,0.73,3,0.73,0,3,6,6,40,2,12,2.92,77,171,13
1328,Joachim Kayi Sanda,fr FRA,DF,Southampton,eng Premier League,17,2006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,,2,0,0,14,35,0
1329,Michael Kayode,it ITA,DF,Brentford,eng Premier League,20,2004,0,1,0.2,0.2,1.2,1.5,0.17,0.25,12,12,24,2,0.34,0,0,0,8,3,17,69.2,7,19,3.24,144,500,34
1330,Michael Kayode,it ITA,"DF,FW",Fiorentina,it Serie A,20,2004,0,0,0.1,0.1,0.2,0.3,0,0.21,3,8,6,1,0.71,0,0,0,1,1,1,,2,4,2.83,42,96,6
1331,Moise Kean,it ITA,FW,Fiorentina,it Serie A,24,2000,19,3,19.4,17.9,1.9,19.7,0.7,0.71,42,26,143,103,3.43,49,1.63,0.17,19,10,7,75,6,57,1.9,454,1078,52
1332,Michael Keane,eng ENG,DF,Everton,eng Premier League,31,1993,3,0,0.6,0.6,0.1,0.7,0.26,0.06,1,14,3,10,0.86,4,0.34,0.3,2,0,12,53.3,16,6,0.51,229,290,26
1333,Yassine Kechta,ma MAR,"MF,FW",Le Havre,fr Ligue 1,22,2002,2,0,2.5,2.5,1.2,3.7,0.09,0.16,44,97,85,29,1.25,9,0.39,0.07,15,18,60,42.3,26,48,2.06,533,1695,113
1334,Thilo Kehrer,de GER,DF,Monaco,fr Ligue 1,27,1996,4,0,1.5,1.5,0.3,1.8,0.15,0.07,16,139,2,12,0.45,8,0.3,0.33,5,1,37,57.9,36,26,0.98,1193,3512,132
1335,Abdoulaye Keita,es ESP,"FW,MF",Getafe,es La Liga,21,2002,0,0,0,0,0,0,0,0.05,1,2,4,2,1.89,0,0,0,0,1,2,50,0,1,0.95,22,24,6
1336,Mandela Keita,be BEL,MF,Parma,it Serie A,22,2002,0,2,0.1,0.1,1,1.2,0.1,0.06,13,50,5,5,0.25,4,0.2,0,15,3,44,51.4,21,33,1.63,558,1136,94
1337,Yannik Keitel,de GER,MF,Stuttgart,de Bundesliga,24,2000,0,0,0.5,0.5,0,0.6,0,0.19,2,11,3,5,1.67,2,0.67,0,1,3,9,90,4,2,0.67,105,182,7
1338,Andu Kelati,de GER,"MF,DF",Holstein Kiel,de Bundesliga,21,2002,1,1,0.9,0.9,0.8,1.7,0.62,0.53,3,19,11,6,1.87,3,0.94,0.17,4,3,7,40,3,9,2.81,88,129,19
1339,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,25,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,3,0.3,290,616,18
1340,Thomas Keller,de GER,"DF,MF",Heidenheim,de Bundesliga,24,1999,0,0,0,0,0,0,0,0.01,0,6,0,1,0.61,0,0,0,0,0,6,66.7,4,1,0.61,51,101,3
1341,Lloyd Kelly,eng ENG,DF,Newcastle Utd,eng Premier League,25,1998,0,1,0.4,0.4,0.5,0.9,0.3,0.26,0,9,5,3,0.89,0,0,0,2,1,5,100,1,2,0.59,120,202,19
1342,Lloyd Kelly,eng ENG,DF,Juventus,it Serie A,25,1998,0,0,0.4,0.4,0.1,0.5,0,0.05,10,36,26,7,0.62,1,0.09,0,3,2,15,77.8,2,12,1.07,433,1160,55
1343,Aljoscha Kemlein,de GER,MF,Union Berlin,de Bundesliga,19,2004,1,0,0.9,0.9,0.6,1.5,0.1,0.15,5,42,19,11,1.07,3,0.29,0.09,10,6,10,35.7,6,21,2.05,260,437,58
1344,Marc-Oliver Kempf,de GER,DF,Como,it Serie A,29,1995,0,0,1.6,1.6,1.2,2.7,0,0.09,17,85,4,20,0.69,4,0.14,0,10,9,30,54.2,33,34,1.17,1136,2703,106
1345,Kenedy,br BRA,"MF,FW",Valladolid,es La Liga,28,1996,0,0,0,0,0,0,0,0.29,1,0,2,1,10,0,0,0,0,0,0,,0,0,0,4,4,1
1346,Luca Kerber,de GER,"MF,DF",Heidenheim,de Bundesliga,22,2002,2,0,0.6,0.6,0.7,1.3,0.23,0.15,1,16,12,7,0.8,5,0.57,0.29,6,5,26,51.6,5,9,1.03,175,255,27
1347,Milos Kerkez,hu HUN,DF,Bournemouth,eng Premier League,20,2003,2,5,0.6,0.5,3.9,4.4,0.19,0.12,106,159,197,19,0.51,5,0.13,0.11,35,41,52,63.2,45,83,2.24,1094,3711,169
1348,Reda Khadra,de GER,"MF,FW",Reims,fr Ligue 1,23,2001,0,0,0,0,0,0,0,0.03,4,4,7,0,0,0,0,,1,1,1,0,0,2,2.25,28,185,7
1349,Bilal El Khannouss,ma MAR,"MF,FW",Leicester City,eng Premier League,20,2004,2,3,1.3,1.3,4.6,5.8,0.21,0.24,73,128,89,30,1.24,7,0.29,0.07,42,31,50,53.1,6,78,3.22,732,2038,92
1350,Wahbi Khazri,tn TUN,"FW,MF",Montpellier,fr Ligue 1,33,1991,1,1,2.3,2.3,2.2,4.4,0.16,0.37,24,33,53,36,2.9,6,0.48,0.03,18,8,25,38.1,5,39,3.27,259,710,44
1351,Rani Khedira,de GER,MF,Union Berlin,de Bundesliga,30,1994,1,1,1.4,1.4,0.6,2.1,0.07,0.07,12,80,34,14,0.46,1,0.03,0.07,12,10,68,63.2,44,33,1.09,506,738,108
1352,Abdukodir Khusanov,uz UZB,DF,Manchester City,eng Premier League,20,2004,0,0,0,0,0.1,0.1,0,0.02,1,25,2,1,0.18,0,0,0,2,0,5,66.7,3,5,0.89,274,435,27
